RUN	EmployeeAcceptOrder	employeeacceptorder	1549122980669	 	3.0.3
USER	EmployeeAcceptOrder	1	START	1549122981543	1549122981543
REQUEST	1		request_0	1549122981569	1549122981595	OK	 
REQUEST	1		request_0 Redirect 1	1549122981604	1549122981608	OK	 
REQUEST	1		request_1	1549122986638	1549122987245	OK	 
REQUEST	1		request_2	1549122989257	1549122989260	OK	 
REQUEST	1		request_3	1549122989277	1549122989289	OK	 
REQUEST	1		request_4	1549122991272	1549122991277	OK	 
REQUEST	1		request_5	1549122991279	1549122991283	OK	 
REQUEST	1		request_6	1549122991280	1549122991285	OK	 
REQUEST	1		request_7	1549122991281	1549122991286	OK	 
REQUEST	1		request_8	1549122998295	1549122998317	OK	 
REQUEST	1		request_9	1549122998318	1549122998320	OK	 
REQUEST	1		request_10	1549122998319	1549122998330	OK	 
REQUEST	1		request_11	1549123003333	1549123003336	OK	 
REQUEST	1		request_11 Redirect 1	1549123003337	1549123003339	OK	 
REQUEST	1		request_11 Redirect 2	1549123003340	1549123003343	OK	 
USER	EmployeeAcceptOrder	1	END	1549122981543	1549123003346
